id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-10-22T20:14:29;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2019-10-22T16:58:14;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2019-10-23T04:12:08;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-10-23T00:30:54;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-10-22T12:01:33;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-10-22T08:41:31;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-10-22T23:49:31;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-10-22T20:25:00;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-10-22T18:34:27;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-10-23T07:31:15;82260;30326
